,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro,trailing_pe,beta,return_on_equity,earnings_growth,company_esg_score_scale,market_capital_scale,score,return_rate_1y_avg,return_rate_5y_avg,return_rate_10y_avg,return_rate_25y_avg,volatility_1y,volatility_5y,volatility_10y,volatility_25y,industry_Auto Components,industry_Automobiles,industry_Banks,industry_Building Products,industry_Chemicals,industry_Commercial Services,industry_Construction Materials,industry_Consumer Durables,industry_Consumer Services,industry_Containers & Packaging,industry_Diversified Financials,industry_Diversified Metals,industry_Electrical Equipment,industry_Energy Services,industry_Food Products,industry_Food Retailers,industry_Healthcare,industry_Homebuilders,industry_Household Products,industry_Insurance,industry_Machinery,industry_Media,industry_Oil & Gas Producers,industry_Paper & Forestry,industry_Pharmaceuticals,industry_Precious Metals,industry_Real Estate,industry_Refiners & Pipelines,industry_Retailing,industry_Semiconductors,industry_Software & Services,industry_Technology Hardware,industry_Telecommunication Services,industry_Textiles & Apparel,industry_Traders & Distributors,industry_Transportation,industry_Transportation Infrastructure,industry_Utilities,stock_exchange_ETR,stock_exchange_LON,stock_exchange_NAS,stock_exchange_NYS,stock_exchange_TKS,stock_ticker_label,trailing_pe_scaled
297,Judges Scientific Plc,12.3,Low ESG Risk,Technology Hardware,LON,JDG.L,703980992.0,703980992.0,73.61111,0.829,0.14442,0.049,0.503225806451613,4.391320511786245e-05,0.1258393865167416,1.1007816167028076e+16,2.2873982368050627e+40,,,0.037338234517373,0.085936741617252,0.087813892034318,0.0988373078592331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,999,0.0063710883
298,"Iron Mountain, Inc.",12.4,Low ESG Risk,Real Estate,NYS,IRM,32381360128.0,32381360128.0,141.52565,1.026,0.81127,308.278,0.5096774193548388,0.0020291197956789,0.1289411946854689,117965356.28909418,2.1780150082875635e+17,5.641926861858252e+16,,0.0737798298062242,0.0781837470578523,0.0740729315200093,0.0751704305045316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,978,0.012249928
299,HUGO BOSS AG,12.4,Low ESG Risk,Textiles & Apparel,ETR,BOSS.DE,2345170432.0,2345170432.0,9.085562,1.34,0.18892,-0.507,0.5096774193548388,0.0001467657826199,0.1275294291756746,1955953.056116056,1.3945488013319875e+17,3.550804693095096e+18,,0.0829247011526797,0.1004342799291018,0.1047553654986826,0.1082582117854792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,541,0.00078560767
300,"Insperity, Inc.",12.4,Low ESG Risk,Commercial Services,NYS,NSP,3254212608.0,3254212608.0,20.397648,1.131,1.1843699,0.5,0.5096774193548388,0.0002037350322268,0.1275721561128798,74249959.54516704,3.37922179749055e+20,1.757440203294334e+20,,0.1227290885664134,0.0822436674838027,0.1130984748067186,0.1503328225911428,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1186,0.001764808
301,GEA Group AG,12.4,Low ESG Risk,Machinery,ETR,G1A.DE,7064195584.0,7064195584.0,17.656904,1.002,0.17867,0.033,0.5096774193548388,0.0004425048900932,0.1277512335062796,2846627.8967028996,9617655786869430.0,3.952043264872952e+16,,0.0279461326754501,0.0625069911510192,0.0790596785274804,0.1013605686960814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,830,0.0015275629
302,Redrow Plc,12.4,Low ESG Risk,Homebuilders,LON,RDW.L,2576698368.0,2576698368.0,12.171875,1.721,0.10556,-0.589,0.5096774193548388,0.0001612755304899,0.1275403114865771,387616378.0,3.5313607130257e+27,3.002182947953141e+29,,0.0524707559392239,0.0949294811773659,0.1024705883274927,0.10335678699318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1334,0.0010527661
303,ReNew Energy Global Plc,12.4,Low ESG Risk,Utilities,NAS,RNW,2168533504.0,2168533504.0,199.33334,0.923,0.01296,-0.97,0.5096774193548388,0.0001356960286451,0.1275211268601935,1224.6024622648306,23403943.17317845,4837.762207175798,29.775413884898043,0.0703437754003041,0.1121570992290101,0.1121570992290101,0.1121570992290101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1362,0.017253894
304,Federal Realty Investment Trust,12.4,Low ESG Risk,Real Estate,NYS,FRT,9873086464.0,9873086464.0,34.346043,1.256,0.093310006,0.843,0.5096774193548388,0.0006185367727563,0.1278832574182769,149532318.34224144,3.2000984672302806e+20,1.8601268330545384e+22,,0.0559374364731303,0.0801738642502389,0.074059506277349,0.0679617438480892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,819,0.0029722133
305,Topgolf Callaway Brands Corp.,12.5,Low ESG Risk,Consumer Durables,NYS,MODG,1889515264.0,1889515264.0,93.454544,1.745,0.0053899996,-0.459,0.5161290322580645,0.0001182100855512,0.1291209156286795,23745.70170528667,36880148300014.74,38848349088107.69,,0.2394926128854191,0.1321844120662351,0.1223684217470261,0.1130907909097055,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1128,0.008088782
306,Pinewood Technologies Group Plc,12.5,Low ESG Risk,Retailing,LON,PINE.L,303597888.0,303597888.0,5.6209674,0.558,0.0809589587569444,0.011,0.5161290322580645,1.882138254637907e-05,0.1290463741014259,15435646470.0,5.365179774043663e+26,2.87669635432022e+29,,0.0085605535126868,0.2035307179919083,0.1820744115319552,0.1927924037838016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1278,0.0004857043
307,"Simon Property Group, Inc.",12.5,Low ESG Risk,Real Estate,NYS,SPG,60705452032.0,60705452032.0,20.60178,1.769,0.8296,0.016,0.5161290322580645,0.0038041774378555,0.1318853911429077,599934629.7069554,7.824443535969571e+20,5.844451582130332e+22,,0.0558230571157115,0.0988127387715644,0.0989713817027168,0.0872755855140013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1446,0.0017824782
308,Marine Products Corp.,12.5,Low ESG Risk,Consumer Durables,NYS,MPX,312459296.0,312459296.0,12.162162,1.202,0.19056,-0.663,0.5161290322580645,1.937672285681715e-05,0.1290467906066587,8700.664662442783,54434452023.60181,106878300264.45316,222924243.0257741,0.0805661837949957,0.0995731724443587,0.1107723141892523,0.1302187311500794,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1135,0.0010519252
309,Fujitsu Ltd.,12.5,Low ESG Risk,Software & Services,TKS,6702.T,5179412316160.0,5179412316160.0,19.8017,0.855,0.14973,2.969,0.5161290322580645,0.324591151580835,0.3724756217501423,51341155061175.0,7.006871991445659e+33,,,0.0531015373674229,0.0819214508728125,0.0872571885793927,0.0992626825884292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,165,0.0017132214
310,"Daiwa House Industry Co., Ltd.",12.5,Low ESG Risk,Real Estate,TKS,1925.T,2911767887872.0,2911767887872.0,8.944544,0.548,0.13307,0.567,0.5161290322580645,0.1824789318558603,0.2658914569564113,358353192256569.0,2.912983408681743e+36,,,0.0195593829907151,0.0591957832867768,0.0606801282347067,0.0760616296159457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0007734008
311,Basler AG,12.5,Low ESG Risk,Technology Hardware,ETR,BSL.DE,275112640.0,275112640.0,56.325687,1.949,-0.10817,0.009,0.5161290322580645,1.7036225326755983e-05,0.1290450352335111,8481.245467987033,79643120200807.28,15005944942114.988,267057.8181634493,0.0615760791711362,0.1698168940357262,0.1466365706997595,0.1637264864279577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,548,0.004874822
312,InvenTrust Properties Corp.,12.6,Low ESG Risk,Real Estate,NYS,IVT,1987643520.0,1987643520.0,325.1111,-5.964,0.00415,-0.333,0.5225806451612903,0.0001243597376324,0.1307384310935469,603469.4705667056,13265719574153.748,46546906692203.586,2713325.565771999,0.079040169999304,2.043418855079111,1.3895666534701074,1.30662557597084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,990,0.02814151
313,TBC Bank Group Plc,12.6,Low ESG Risk,Banks,LON,TBCG.L,1579111936.0,1579111936.0,4.635332,1.074,0.25877002,0.125,0.5225806451612903,9.875725361612963e-05,0.1307192292305346,68013310837115.48,1.0842820246509583e+33,1.5160388027793e+30,1181093085059.733,0.1869138589633,0.1187655396207658,0.1095073993916526,0.1095073993916526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1481,0.00040038544
314,HORNBACH Holding AG & Co. KGaA,12.6,Low ESG Risk,Retailing,ETR,HBH.DE,1263273216.0,1263273216.0,8.195021,1.358,0.080340005,0.436,0.5225806451612903,7.896378819695846e-05,0.1307043841314703,35748471.22647174,3.790106513627832e+19,9.825359904288034e+19,,0.0648535992375397,0.0984219440499048,0.0969509774151094,0.0844193681931603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,887,0.00070852035
315,"Penske Automotive Group, Inc.",12.6,Low ESG Risk,Retailing,NYS,PAG,10469009408.0,10469009408.0,11.537159,1.16,0.19487,-0.182,0.5225806451612903,0.0006558829859899,0.131137073529815,647999539.3060504,7.125926309414066e+20,8.442952092073678e+19,,0.1439873799604566,0.0898959207611111,0.1010712755810108,0.1266648209588328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1243,0.0009978235
316,JD Sports Fashion Plc,12.6,Low ESG Risk,Retailing,LON,JD.L,7041295872.0,7041295872.0,13.585,1.655,0.22002001,81.226,0.5225806451612903,0.0004410697758121,0.1309759636221817,303334712.98951656,3.4770627293585166e+22,2.829778060083308e+22,,0.044819293887669,0.1183498481395678,0.1180519552389406,0.1108917970919748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,998,0.0011750894
317,"Brother Industries, Ltd.",12.6,Low ESG Risk,Technology Hardware,TKS,6448.T,709986811904.0,709986811904.0,22.221777,0.9928571428571428,0.076239033132129,0.017,0.5225806451612903,0.0444943377321312,0.164015914589421,66435591165512.25,4.265292389421916e+34,,,0.1196167560489615,0.0829239755166234,0.0906324174277104,0.0962944043963209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,154,0.0019227088
318,American Tower Corp.,12.6,Low ESG Risk,Real Estate,NYS,AMT,111413067776.0,111413067776.0,44.668537,0.83,0.21584,0.882,0.5225806451612903,0.006982000089611,0.1358816613575308,2311743822.3858614,1.6273616433681998e+24,4.110885931539967e+24,,0.0633722732979645,0.0782319535130752,0.0666803745668029,0.1418028090154087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,437,0.0038657524
319,"Escalade, Inc.",12.6,Low ESG Risk,Consumer Durables,NAS,ESCA,192061840.0,192061840.0,16.47619,1.243,0.07249,-0.231,0.5225806451612903,1.1831470387796938e-05,0.1306540348931134,40969.68964592381,967338948027.4728,614038691121.3595,837221721.312557,0.066679497911188,0.0962004435710859,0.1078639955748733,0.1453474125639556,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,756,0.0014253575
320,Berkeley Group Holdings Plc,12.6,Low ESG Risk,Homebuilders,LON,BKG.L,5049970688.0,5049970688.0,12.85974,1.224,0.11537,-0.225,0.5225806451612903,0.0003162743543773,0.1308823670561056,556969300874146.1,4.3056441215925685e+37,,,0.0827603020886595,0.0768495562355525,0.0764042347957091,0.0843442266680257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,526,0.0011123093
321,International Game Technology PLC,12.6,Low ESG Risk,Consumer Services,NYS,IGT,4354077184.0,4354077184.0,20.740385,1.969,0.16097,-0.13,0.5225806451612903,0.0002726630327292,0.1308496585648695,223788.82279385475,29646522922998.805,45800321849371.63,,0.1083955840236315,0.1611426995584646,0.1453009165557442,0.1217524211708697,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,951,0.0017944762
322,"America's Car-Mart, Inc.",12.7,Low ESG Risk,Retailing,NAS,CRMT,322780512.0,322780512.0,57.894684,1.681,-0.07486,,0.5290322580645161,2.002354865442613e-05,0.1322730821776198,12674644.36565587,2.1335200870212347e+20,2.6462596687903284e+20,,0.1736294705456143,0.1366563138255629,0.1301810832463471,0.1270434658614586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,644,0.0050106384
323,Bicycle Therapeutics Plc,12.7,Low ESG Risk,Pharmaceuticals,NAS,BCYC,1818668800.0,1818668800.0,50.163414,0.885,-0.30235,,0.5290322580645161,0.0001137701706628,0.1323433921441262,285943.329136499,357306657680401.06,327472135.54467726,2547.239265888252,0.2010032043590986,0.1792830605664495,0.1883491335114259,0.1883491335114259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,502,0.0043414016
324,"Tempur Sealy International, Inc.",12.7,Low ESG Risk,Consumer Durables,NYS,TPX,8474070528.0,8474070528.0,23.349283,1.595,1.31961,0.154,0.5290322580645161,0.0005308610959106,0.132656210338062,6237563.871972635,1.16279796691345e+16,998872518823979.8,21194447980.969097,0.090699875295681,0.1081825624679335,0.1247246519369476,0.1407081347550426,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1512,0.0020203085
325,"Chiyoda Integre Co., Ltd.",12.7,Low ESG Risk,Technology Hardware,TKS,6915.T,36387856384.0,36387856384.0,13.089005,0.43,0.07301,0.263,0.5290322580645161,0.0022802050492387,0.133968218303058,140037184560000.0,2.2719203332470027e+34,,,0.0273644391711508,0.0585234260128107,0.0703982130022735,0.0951621161106709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,189,0.001132155
326,"Thermo Fisher Scientific, Inc.",12.7,Low ESG Risk,Pharmaceuticals,NYS,TMO,236997951488.0,236997951488.0,38.4399,0.778,0.13527,0.151,0.5290322580645161,0.0148523462362903,0.1433973241933467,130132530770.96138,2.0446887875447823e+28,7.781156575600748e+27,,0.058639172793545,0.0655712807262448,0.0625164323531029,0.0684348805898157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1501,0.0033265871
327,"Inaba Denkisangyo Co., Ltd.",12.7,Low ESG Risk,Retailing,TKS,9934.T,213742911488.0,213742911488.0,13.262322,0.306,0.102790006,0.17,0.5290322580645161,0.013394963715042,0.1423042873024105,228598524000000.0,5.4454448910421474e+35,,,0.0245833375255655,0.0381430650004554,0.0492827443792406,0.0534918116843356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,369,0.0011471577
328,Waters Corp.,12.8,Low ESG Risk,Pharmaceuticals,NYS,WAT,19714086912.0,19714086912.0,33.21,0.955,0.5457,-0.059,0.535483870967742,0.0012352676854751,0.1347974185060418,11088672224.639605,5.414618745496135e+25,2.0626133348201296e+26,,0.1066680752274603,0.0924467807242246,0.0799504422979731,0.0911501550574057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1595,0.0028738747
329,"AutoNation, Inc.",12.8,Low ESG Risk,Retailing,NYS,AN,6502627328.0,6502627328.0,8.921067,1.199,0.36501,-0.468,0.535483870967742,0.0004073116691491,0.1341764514937974,859981564.0118928,2.1325121058705957e+21,4.678761131439003e+20,,0.1648828095810935,0.1158395866520382,0.1131583720616894,0.1024905788506391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,438,0.0007713686
330,"Gentherm, Inc.",12.8,Low ESG Risk,Auto Components,NAS,THRM,1437898880.0,1437898880.0,21.956938,1.431,0.10313,,0.535483870967742,8.990749719401813e-05,0.133938398364831,6161947.812735834,3.287264964269079e+18,6.19577145996012e+18,,0.1265203173726989,0.1139916487342659,0.1028230185421179,0.1677527095512805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1493,0.0018997837
331,Pets At Home Group Plc,12.8,Low ESG Risk,Retailing,LON,PETS.L,1391935616.0,1391935616.0,18.9875,0.694,0.07867,-0.032,0.535483870967742,8.702700085545571e-05,0.1339362379925771,8149758502.780494,1.3250623373714834e+26,1.512209169873083e+26,489300624362.67896,0.0489359498419519,0.1126334597192852,0.1025120289147052,0.0991894845894733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1266,0.0016427423
332,Genuine Parts Co.,12.8,Low ESG Risk,Retailing,NYS,GPC,19032231936.0,19032231936.0,15.811342,0.913,0.28061,-0.135,0.535483870967742,0.0011925361518355,0.1347653698558122,381693985.86825573,6.781428830686239e+21,1.7422180019836436e+22,,0.0649655929645422,0.0684457099542391,0.0682981170557723,0.0616572287596189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,856,0.0013678068
333,Robert Walters Plc,12.8,Low ESG Risk,Commercial Services,LON,RWA.L,238780400.0,238780400.0,41.25,1.218,0.03638,,0.535483870967742,1.4759300774753528e-05,0.1338820372175165,19178617866.15414,3.213387565954454e+27,1.502410977338642e+29,,0.0793303629351252,0.093224243108133,0.1072057017517151,0.1328472856617574,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1377,0.0035698358
334,"Monro, Inc.",12.8,Low ESG Risk,Retailing,NAS,MNRO,741140736.0,741140736.0,22.72477,1.107,0.05128,-0.331,0.535483870967742,4.624198895997419e-05,0.1339056492336554,478063.4883253543,5.05947069578542e+16,5.847165740664514e+18,,0.2325359340856949,0.1012769435441002,0.0963911581531768,0.086394146210572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1126,0.001966249
335,"Nomura Real Estate Master Fund, Inc.",12.8,Low ESG Risk,Real Estate,TKS,3462.T,711995228160.0,711995228160.0,23.94841,0.442,0.04992,0.241,0.535483870967742,0.0446202042430848,0.1673361209242491,4.4153935949901306e+20,5.106942556187131e+53,,,0.0258159263165056,0.0417459452405511,0.052801384635477,0.0529075696553681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,0.0020721701
336,"Udemy, Inc.",12.8,Low ESG Risk,Software & Services,NAS,UDMY,1154780160.0,1154780160.0,303.10654,1.988,-0.29782,,0.535483870967742,7.216457892915176e-05,0.1339250911761323,5227.65759141072,28824940.866205823,5368.886371139347,31.042285224496492,0.0897567201232094,0.1966353813972368,0.1966353813972368,0.1966353813972368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1539,0.026236743
337,"The Home Depot, Inc.",12.8,Low ESG Risk,Retailing,NYS,HD,363068456960.0,363068456960.0,24.581036,1.003,5.13362,-0.011,0.535483870967742,0.0227531260723961,0.1509358122962326,17008558796.729445,5.256622113952868e+25,5.471695439449131e+25,,0.0366931379614665,0.0688275548445458,0.0637448865360959,0.0710959644604158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,891,0.0021269317
338,"EastGroup Properties, Inc.",12.8,Low ESG Risk,Real Estate,NYS,EGP,9047736320.0,9047736320.0,38.681248,1.007,0.09089,0.175,0.535483870967742,0.0005668124637989,0.1342960770897847,1094130195.3906271,6.163792820340686e+22,3.20331486028639e+22,,0.0637523060785206,0.0711387213965595,0.0625275599717378,0.0634007441009553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,735,0.0033474788
339,"Newell Brands, Inc.",12.8,Low ESG Risk,Consumer Durables,NAS,NWL,2953600000.0,2953600000.0,50.694576,0.9,-0.08382,1.71,0.535483870967742,0.0001848957801522,0.1340096395770496,2684.5555927842684,497874654384.2497,78281352781622.48,,0.2609175520552393,0.1275279541752038,0.1235461424017216,0.1066100992144181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1198,0.00438738
340,Spirent Communications Plc,12.8,Low ESG Risk,Technology Hardware,LON,SPT.L,993868416.0,993868416.0,86.9,0.569,0.035639998,,0.535483870967742,6.208031490857024e-05,0.1339175279781169,976077029.2871932,1.0923317505404238e+24,9.96302803877532e+23,,0.041303346790838,0.1565421538112677,0.1239816280548696,0.1467804842235829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1448,0.007521406
341,Murata Manufacturing Co. Ltd.,12.8,Low ESG Risk,Technology Hardware,TKS,6981.T,5300647624704.0,5300647624704.0,26.667624,0.789,0.07856,0.331,0.535483870967742,0.3321889118783951,0.3830126516507318,91178123071563.0,3.797085629493556e+35,,,0.064503086243243,0.0797079455685382,0.0870897678022894,0.0879191277439341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,197,0.0023075517
342,"Cisco Systems, Inc.",12.9,Low ESG Risk,Technology Hardware,NAS,CSCO,194348548096.0,194348548096.0,19.17323,0.819,0.22982,-0.439,0.5419354838709678,0.012179527997957,0.1446185169662097,5580013.316280525,1.933231729354984e+17,3.3261766771225114e+17,,0.0438178918811688,0.0733283529617092,0.0687584185577333,0.0922650112537981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,651,0.0016588195
343,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",12.9,Low ESG Risk,Real Estate,NYS,HASI,3810137088.0,3810137088.0,14.373333,1.968,0.12236,0.687,0.5419354838709678,0.0002385745603586,0.1356628018880109,999090.7512536924,5609923112961667.0,1271400544420836.2,8920129.766483296,0.0579514266358522,0.1509232356454089,0.1246981727945286,0.1157656363626468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,884,0.0012433294
344,RWS Holdings Plc,12.9,Low ESG Risk,Commercial Services,LON,RWS.L,604646656.0,604646656.0,84.24426,0.759,-0.038039997,-0.45,0.5419354838709678,3.768796856500303e-05,0.1355121369441657,1003569900.5758678,1.8893417264004956e+26,1.163222076370913e+28,,0.057992220185123,0.0943366351493577,0.097409377140202,0.2631774640170692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1379,0.0072915186
345,Amano Corp.,12.9,Low ESG Risk,Technology Hardware,TKS,6436.T,300534038528.0,300534038528.0,22.778534,0.389,0.110290006,0.044,0.5419354838709678,0.018834123206814,0.1496094633728525,294109976212500.0,3.52067427198059e+35,,,0.1198495116747791,0.067411373707738,0.0707057785351121,0.0769889835213709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,153,0.001970903
346,Ascential Plc,12.9,Low ESG Risk,Media,LON,ASCL.L,1152418432.0,1152418432.0,47.416668,1.219,0.08849,,0.5419354838709678,7.20165705358253e-05,0.1355378833956438,63502679529.0,8.153742391021666e+25,6.963427096226314e+25,21733477068.206085,0.3873489061205756,0.1847784488849124,0.140891060931645,0.140891060931645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,462,0.004103637
