,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro
240,"CommScope Holding Co., Inc.",13.6,Low ESG Risk,Technology Hardware,NAS,COMM,362993664.0,333954170.88
241,"JAKKS Pacific, Inc.",13.6,Low ESG Risk,Consumer Durables,NAS,JAKK,208025344.0,191383316.48000002
242,"HireQuest, Inc.",13.6,Low ESG Risk,Commercial Services,NAS,HQI,185920000.0,171046400.0
243,"Avis Budget Group, Inc.",13.6,Low ESG Risk,Transportation,NAS,CAR,3997120512.0,3677350871.04
244,"Hayward Holdings, Inc.",13.7,Low ESG Risk,Consumer Durables,NYS,HAYW,2902731520.0,2670512998.4
245,Hooker Furnishings Corp.,13.7,Low ESG Risk,Consumer Durables,NAS,HOFT,165253632.0,152033341.44
246,CNH Industrial NV,13.7,Low ESG Risk,Machinery,NYS,CNH,13404735488.0,12332356648.960001
247,"Arista Networks, Inc.",13.7,Low ESG Risk,Technology Hardware,NYS,ANET,105503055872.0,97062811402.24
248,"Grand Canyon Education, Inc.",13.8,Low ESG Risk,Consumer Services,NAS,LOPE,4527671296.0,4165457592.32
249,"STAG Industrial, Inc.",13.8,Low ESG Risk,Real Estate,NYS,STAG,7193551872.0,6618067722.240001
250,Genpact Ltd.,13.8,Low ESG Risk,Software & Services,NYS,G,6121085952.0,5631399075.84
251,Vornado Realty Trust,13.8,Low ESG Risk,Real Estate,NYS,VNO,6126276096.0,5636174008.320001
252,"Recursion Pharmaceuticals, Inc.",13.9,Low ESG Risk,Pharmaceuticals,NAS,RXRX,2241415680.0,2062102425.6000001
253,"PC Connection, Inc.",13.9,Low ESG Risk,Technology Hardware,NAS,CNXN,1768720384.0,1627222753.28
254,"MarketAxess Holdings, Inc.",13.9,Low ESG Risk,Diversified Financials,NAS,MKTX,8512022528.0,7831060725.76
255,"W.P. Carey, Inc.",13.9,Low ESG Risk,Real Estate,NYS,WPC,13138252800.0,12087192576.0
256,"Advanced Micro Devices, Inc.",13.9,Low ESG Risk,Semiconductors,NAS,AMD,257688289280.0,237073226137.6
257,"Equity LifeStyle Properties, Inc.",13.9,Low ESG Risk,Real Estate,NYS,ELS,13486688256.0,12407753195.52
258,Acadia Realty Trust,13.9,Low ESG Risk,Real Estate,NYS,AKR,2209628928.0,2032858613.76
259,Amdocs Ltd.,13.9,Low ESG Risk,Software & Services,NAS,DOX,9723117568.0,8945268162.56
260,"TEGNA, Inc.",13.9,Low ESG Risk,Media,NYS,TGNA,2759473408.0,2538715535.36
261,"Synopsys, Inc.",13.9,Low ESG Risk,Software & Services,NAS,SNPS,87391346688.0,80400038952.96
262,"VICI Properties, Inc.",13.9,Low ESG Risk,Real Estate,NYS,VICI,32202969088.0,29626731560.960003
263,"Best Buy Co., Inc.",14.0,Low ESG Risk,Retailing,NYS,BBY,19233060864.0,17694415994.88
264,"Mohawk Industries, Inc.",14.0,Low ESG Risk,Consumer Durables,NYS,MHK,8428013568.0,7753772482.56
265,"Granite Point Mortgage Trust, Inc.",14.0,Low ESG Risk,Real Estate,NYS,GPMT,162290672.0,149307418.24
266,Ferguson Plc,14.0,Low ESG Risk,Traders & Distributors,NYS,FERG,42486013952.0,39087132835.840004
267,US Foods Holding Corp.,14.0,Low ESG Risk,Food Retailers,NYS,USFD,13134215168.0,12083477954.560001
268,Ralph Lauren Corp.,14.0,Low ESG Risk,Textiles & Apparel,NYS,RL,10633823232.0,9783117373.44
269,"Americold Realty Trust, Inc.",14.1,Low ESG Risk,Real Estate,NYS,COLD,8100922368.0,7452848578.56
270,"Adobe, Inc.",14.1,Low ESG Risk,Software & Services,NAS,ADBE,249674121216.0,229700191518.72
271,Paramount Global,14.1,Low ESG Risk,Media,NAS,PARA,8317237760.0,7651858739.200001
272,"Thryv Holdings, Inc.",14.1,Low ESG Risk,Media,NAS,THRY,673619008.0,619729487.36
273,"E2open Parent Holdings, Inc.",14.1,Low ESG Risk,Software & Services,NYS,ETWO,1428980736.0,1314662277.1200001
274,"Tetra Tech, Inc.",14.1,Low ESG Risk,Commercial Services,NAS,TTEK,10749747200.0,9889767424.0
275,Central Garden & Pet Co.,14.1,Low ESG Risk,Retailing,NAS,CENT,2420799744.0,2227135764.48
276,The Lovesac Co.,14.1,Low ESG Risk,Consumer Durables,NAS,LOVE,458895264.0,422183642.88
277,"Park Hotels & Resorts, Inc.",14.1,Low ESG Risk,Real Estate,NYS,PK,3205301504.0,2948877383.6800003
278,"American Assets Trust, Inc.",14.2,Low ESG Risk,Real Estate,NYS,AAT,1891437696.0,1740122680.3200002
279,Deckers Outdoor Corp.,14.2,Low ESG Risk,Textiles & Apparel,NYS,DECK,22634156032.0,20823423549.440002
280,"Iteris, Inc.",14.2,Low ESG Risk,Technology Hardware,NAS,ITI,209718976.0,192941457.92000002
281,KB Home,14.2,Low ESG Risk,Homebuilders,NYS,KBH,6070450688.0,5584814632.96
282,Microsoft Corp.,14.2,Low ESG Risk,Software & Services,NAS,MSFT,3296377962496.0,3032667725496.3203
283,Camden Property Trust,14.2,Low ESG Risk,Real Estate,NYS,CPT,12034193408.0,11071457935.36
284,"Extra Space Storage, Inc.",14.2,Low ESG Risk,Real Estate,NYS,EXR,36994887680.0,34035296665.600002
285,"The Children's Place, Inc.",14.2,Low ESG Risk,Retailing,NAS,PLCE,102301016.0,94116934.72
286,"J.B. Hunt Transport Services, Inc.",14.3,Low ESG Risk,Transportation,NAS,JBHT,16913987584.0,15560868577.28
287,"NetApp, Inc.",14.3,Low ESG Risk,Technology Hardware,NAS,NTAP,26223290368.0,24125427138.56
288,"ABM Industries, Inc.",14.3,Low ESG Risk,Commercial Services,NYS,ABM,3374171136.0,3104237445.1200004
289,Concentrix Corp.,14.3,Low ESG Risk,Commercial Services,NAS,CNXC,4532526080.0,4169923993.6000004
290,"Franklin BSP Realty Trust, Inc.",14.3,Low ESG Risk,Real Estate,NYS,FBRT,1114252032.0,1025111869.44
291,Helen of Troy Ltd.,14.4,Low ESG Risk,Consumer Durables,NAS,HELE,1412371456.0,1299381739.52
292,"Fidelity National Information Services, Inc.",14.4,Low ESG Risk,Software & Services,NYS,FIS,42975952896.0,39537876664.32
293,"Asbury Automotive Group, Inc.",14.4,Low ESG Risk,Retailing,NYS,ABG,5160855552.0,4747987107.84
294,VF Corp.,14.4,Low ESG Risk,Textiles & Apparel,NYS,VFC,6282850816.0,5780222750.72
295,SITE Centers Corp.,14.4,Low ESG Risk,Real Estate,NYS,SITC,3268973568.0,3007455682.56
296,"MSCI, Inc.",14.4,Low ESG Risk,Diversified Financials,NYS,MSCI,39928995840.0,36734676172.8
297,"FIGS, Inc.",14.4,Low ESG Risk,Textiles & Apparel,NYS,FIGS,1043497664.0,960017850.88
298,"Kulicke & Soffa Industries, Inc.",14.4,Low ESG Risk,Semiconductors,NAS,KLIC,2808127232.0,2583477053.44
299,"lululemon athletica, Inc.",14.4,Low ESG Risk,Retailing,NAS,LULU,36585582592.0,33658735984.640003
300,"Cable One, Inc.",14.4,Low ESG Risk,Media,NYS,CABO,2118168320.0,1948714854.4
301,"ANSYS, Inc.",14.5,Low ESG Risk,Software & Services,NAS,ANSS,27956080640.0,25719594188.8
302,"Ormat Technologies, Inc.",14.5,Low ESG Risk,Utilities,NYS,ORA,4556400640.0,4191888588.8
303,"NETGEAR, Inc.",14.5,Low ESG Risk,Technology Hardware,NAS,NTGR,459615680.0,422846425.6
304,"Sun Communities, Inc.",14.5,Low ESG Risk,Real Estate,NYS,SUI,16730613760.0,15392164659.2
305,Signet Jewelers Ltd.,14.5,Low ESG Risk,Retailing,NYS,SIG,3907958016.0,3595321374.7200003
306,"Henry Schein, Inc.",14.5,Low ESG Risk,Healthcare,NAS,HSIC,9119792128.0,8390208757.76
307,"Cirrus Logic, Inc.",14.5,Low ESG Risk,Semiconductors,NAS,CRUS,7416284672.0,6822981898.240001
308,Columbia Sportswear Co.,14.5,Low ESG Risk,Retailing,NAS,COLM,4755934720.0,4375459942.400001
309,Oracle Corp.,14.5,Low ESG Risk,Software & Services,NYS,ORCL,383781044224.0,353078560686.08
310,"Omnicom Group, Inc.",14.5,Low ESG Risk,Media,NYS,OMC,17922727936.0,16488909701.12
311,Ciena Corp.,14.5,Low ESG Risk,Technology Hardware,NYS,CIEN,7245605376.0,6665956945.92
312,"Kontoor Brands, Inc.",14.6,Low ESG Risk,Textiles & Apparel,NYS,KTB,3881280512.0,3570778071.04
313,"Standard Motor Products, Inc.",14.6,Low ESG Risk,Auto Components,NYS,SMP,705487424.0,649048430.08
314,Daily Journal Corp.,14.6,Low ESG Risk,Media,NAS,DJCO,607476800.0,558878656.0
315,"Allegro MicroSystems, Inc.",14.6,Low ESG Risk,Semiconductors,NAS,ALGM,6158455808.0,5665779343.360001
316,"CareTrust REIT, Inc.",14.6,Low ESG Risk,Real Estate,NYS,CTRE,3831465984.0,3524948705.28
317,"Salesforce, Inc.",14.6,Low ESG Risk,Software & Services,NYS,CRM,243432177664.0,223957603450.88
318,Moody's Corp.,14.6,Low ESG Risk,Diversified Financials,NYS,MCO,83278831616.0,76616525086.72
319,"HubSpot, Inc.",14.6,Low ESG Risk,Software & Services,NYS,HUBS,24480296960.0,22521873203.2
320,"Veeva Systems, Inc.",14.7,Low ESG Risk,Healthcare,NYS,VEEV,29409347584.0,27056599777.280003
321,Amcor Plc,14.7,Low ESG Risk,Containers & Packaging,NYS,AMCR,14930362368.0,13735933378.560001
322,"Four Corners Property Trust, Inc.",14.7,Low ESG Risk,Real Estate,NYS,FCPT,2493174016.0,2293720094.7200003
323,"Funko, Inc.",14.7,Low ESG Risk,Retailing,NAS,FNKO,498201792.0,458345648.64000005
324,Terreno Realty Corp.,14.7,Low ESG Risk,Real Estate,NYS,TRNO,6388272128.0,5877210357.76
325,"Safehold, Inc.",14.7,Low ESG Risk,Real Estate,NYS,SAFE,1622291200.0,1492507904.0
326,Rithm Capital Corp.,14.7,Low ESG Risk,Real Estate,NYS,RITM,5608345088.0,5159677480.96
327,"Gannett Co., Inc.",14.8,Low ESG Risk,Media,NYS,GCI,718558720.0,661074022.4
328,"Gaming & Leisure Properties, Inc.",14.8,Low ESG Risk,Real Estate,NAS,GLPI,13363278848.0,12294216540.16
329,"Dana, Inc.",14.8,Low ESG Risk,Auto Components,NYS,DAN,1803339776.0,1659072593.92
330,"Air Products & Chemicals, Inc.",14.8,Low ESG Risk,Chemicals,NYS,APD,60127105024.0,55316936622.08
331,"Radius Recycling, Inc.",14.8,Low ESG Risk,Commercial Services,NAS,RDUS,503589408.0,463302255.36
332,"Arlo Technologies, Inc.",14.8,Low ESG Risk,Consumer Durables,NYS,ARLO,1668605952.0,1535117475.8400002
333,"Zoom Video Communications, Inc.",14.8,Low ESG Risk,Software & Services,NAS,ZM,18278268928.0,16816007413.76
334,"OneMain Holdings, Inc.",14.8,Low ESG Risk,Diversified Financials,NYS,OMF,6295962624.0,5792285614.08
335,"O-I Glass, Inc.",14.8,Low ESG Risk,Containers & Packaging,NYS,OI,1818833024.0,1673326382.0800002
336,Gen Digital Inc.,14.8,Low ESG Risk,Software & Services,NAS,GEN,16142044160.0,14850680627.2
337,"Apollo Commercial Real Estate Finance, Inc.",14.9,Low ESG Risk,Real Estate,NYS,ARI,1560938752.0,1436063651.8400002
338,"Camping World Holdings, Inc.",14.9,Low ESG Risk,Retailing,NYS,CWH,1052884288.0,968653544.96
339,Pebblebrook Hotel Trust,14.9,Low ESG Risk,Real Estate,NYS,PEB,1705131520.0,1568720998.4
340,Service Properties Trust,14.9,Low ESG Risk,Real Estate,NAS,SVC,1011136000.0,930245120.0
341,Regions Financial Corp.,14.9,Low ESG Risk,Banks,NYS,RF,20248936448.0,18629021532.16
342,"H&R Block, Inc.",14.9,Low ESG Risk,Consumer Services,NYS,HRB,7851353088.0,7223244840.96
343,"Mattel, Inc.",14.9,Low ESG Risk,Consumer Durables,NAS,MAT,5745785856.0,5286122987.52
344,"nLIGHT, Inc.",15.0,Low ESG Risk,Technology Hardware,NAS,LASR,617396288.0,568004584.96
345,"Dynatrace, Inc.",15.0,Low ESG Risk,Software & Services,NYS,DT,12918717440.0,11885220044.800001
346,"First Industrial Realty Trust, Inc.",15.0,Low ESG Risk,Real Estate,NYS,FR,6994760192.0,6435179376.64
347,"ServiceNow, Inc.",15.0,Low ESG Risk,Software & Services,NYS,NOW,151175528448.0,139081486172.16
348,"Xperi, Inc.",15.0,Low ESG Risk,Software & Services,NYS,XPER,377438112.0,347243063.04
349,"Visa, Inc.",15.0,Low ESG Risk,Software & Services,NYS,V,557971472384.0,513333754593.28
350,The Walt Disney Co.,15.0,Low ESG Risk,Media,NYS,DIS,177400020992.0,163208019312.64
351,Scholastic Corp.,15.0,Low ESG Risk,Media,NAS,SCHL,1070970432.0,985292797.44
352,"PlayAGS, Inc.",15.0,Low ESG Risk,Software & Services,NYS,AGS,456582528.0,420055925.76
353,"MFA Financial, Inc.",15.1,Low ESG Risk,Real Estate,NYS,MFA,1190276096.0,1095054008.32
354,Intel Corp.,15.1,Low ESG Risk,Semiconductors,NAS,INTC,146691735552.0,134956396707.84001
355,HollySys Automation Technologies Ltd.,15.1,Low ESG Risk,Technology Hardware,NAS,HOLI,1581116416.0,1454627102.72
356,"Automatic Data Processing, Inc.",15.1,Low ESG Risk,Software & Services,NAS,ADP,102015787008.0,93854524047.36
357,"MetLife, Inc.",15.1,Low ESG Risk,Insurance,NYS,MET,54173351936.0,49839483781.12
358,"The Hartford Financial Services Group, Inc.",15.1,Low ESG Risk,Insurance,NYS,HIG,31066105856.0,28580817387.52
359,Chimera Investment Corp.,15.1,Low ESG Risk,Real Estate,NYS,CIM,1257793024.0,1157169582.0800002
360,"Zoetis, Inc.",15.1,Low ESG Risk,Pharmaceuticals,NYS,ZTS,83068510208.0,76423029391.36
361,"Calix, Inc.",15.1,Low ESG Risk,Technology Hardware,NYS,CALX,2416562176.0,2223237201.92
362,"Vishay Precision Group, Inc.",15.1,Low ESG Risk,Technology Hardware,NYS,VPG,449358752.0,413410051.84000003
363,"Autodesk, Inc.",15.1,Low ESG Risk,Software & Services,NAS,ADSK,53916037120.0,49602754150.4
364,Trane Technologies Plc,15.1,Low ESG Risk,Building Products,NYS,TT,75927519232.0,69853317693.44
365,Victoria's Secret & Co.,15.1,Low ESG Risk,Retailing,NYS,VSCO,1491599744.0,1372271764.48
366,"Mirion Technologies, Inc.",15.1,Low ESG Risk,Technology Hardware,NYS,MIR,2586542848.0,2379619420.1600003
367,"Floor & Decor Holdings, Inc.",15.1,Low ESG Risk,Retailing,NYS,FND,10059127808.0,9254397583.36
368,Weyerhaeuser Co.,15.2,Low ESG Risk,Paper & Forestry,NYS,WY,22227728384.0,20449510113.280003
369,"Kennedy-Wilson Holdings, Inc.",15.2,Low ESG Risk,Real Estate,NYS,KW,1481176576.0,1362682449.92
370,Cognizant Technology Solutions Corp.,15.2,Low ESG Risk,Software & Services,NAS,CTSH,37140762624.0,34169501614.08
371,"Sunstone Hotel Investors, Inc.",15.2,Low ESG Risk,Real Estate,NYS,SHO,2197642496.0,2021831096.3200002
372,Centerspace,15.2,Low ESG Risk,Real Estate,NYS,CSR,1114429056.0,1025274731.5200001
373,Abercrombie & Fitch Co.,15.2,Low ESG Risk,Retailing,NYS,ANF,7961183744.0,7324289044.4800005
374,Agree Realty Corp.,15.2,Low ESG Risk,Real Estate,NYS,ADC,6798579712.0,6254693335.04
375,"Ryder System, Inc.",15.2,Low ESG Risk,Transportation,NYS,R,5901986304.0,5429827399.68
376,"American Eagle Outfitters, Inc.",15.2,Low ESG Risk,Retailing,NYS,AEO,4026814976.0,3704669777.92
377,"Zumiez, Inc.",15.3,Low ESG Risk,Retailing,NAS,ZUMZ,456984992.0,420426192.64000005
378,"American Axle & Manufacturing Holdings, Inc.",15.3,Low ESG Risk,Auto Components,NYS,AXL,873418752.0,803545251.84
379,Aon Plc,15.3,Low ESG Risk,Insurance,NYS,AON,65327149056.0,60100977131.520004
380,Sysco Corp.,15.3,Low ESG Risk,Food Retailers,NYS,SYY,37373550592.0,34383666544.64
381,DXC Technology Co.,15.3,Low ESG Risk,Software & Services,NYS,DXC,3563997184.0,3278877409.28
382,"Cass Information Systems, Inc.",15.3,Low ESG Risk,Software & Services,NAS,CASS,628428864.0,578154554.88
383,"Crocs, Inc.",15.3,Low ESG Risk,Textiles & Apparel,NAS,CROX,8072825856.0,7426999787.52
384,"Xenia Hotels & Resorts, Inc.",15.3,Low ESG Risk,Real Estate,NYS,XHR,1589737088.0,1462558120.96
385,Chatham Lodging Trust,15.3,Low ESG Risk,Real Estate,NYS,CLDT,459510880.0,422750009.6
386,ArcBest Corp.,15.3,Low ESG Risk,Transportation,NAS,ARCB,2837801216.0,2610777118.7200003
387,"Sunnova Energy International, Inc.",15.3,Low ESG Risk,Traders & Distributors,NYS,NOVA,903828800.0,831522496.0
388,"Teradyne, Inc.",15.3,Low ESG Risk,Semiconductors,NAS,TER,23783663616.0,21880970526.72
389,"Owens & Minor, Inc.",15.4,Low ESG Risk,Healthcare,NYS,OMI,1132954624.0,1042318254.08
390,SpartanNash Co.,15.4,Low ESG Risk,Food Retailers,NAS,SPTN,679530560.0,625168115.2
391,Centene Corp.,15.4,Low ESG Risk,Healthcare,NYS,CNC,36181876736.0,33287326597.120003
392,"Weyco Group, Inc.",15.4,Low ESG Risk,Retailing,NAS,WEYS,319766304.0,294184999.68
393,"eBay, Inc.",15.4,Low ESG Risk,Software & Services,NAS,EBAY,27399161856.0,25207228907.52
394,"Berry Global Group, Inc.",15.4,Low ESG Risk,Containers & Packaging,NYS,BERY,7302152192.0,6717980016.64
395,"Marvell Technology, Inc.",15.4,Low ESG Risk,Semiconductors,NAS,MRVL,58800209920.0,54096193126.4
396,Retail Opportunity Investments Corp.,15.4,Low ESG Risk,Real Estate,NAS,ROIC,1716805376.0,1579460945.92
397,"Mesa Laboratories, Inc.",15.4,Low ESG Risk,Technology Hardware,NAS,MLAB,606942784.0,558387361.28
398,Avery Dennison Corp.,15.4,Low ESG Risk,Containers & Packaging,NYS,AVY,17951326208.0,16515220111.36
399,"MAXIMUS, Inc.",15.4,Low ESG Risk,Commercial Services,NYS,MMS,5551191552.0,5107096227.84
400,Service Corp. International,15.5,Low ESG Risk,Consumer Services,NYS,SCI,10932549632.0,10057945661.44
401,Teradata Corp.,15.5,Low ESG Risk,Software & Services,NYS,TDC,3381599232.0,3111071293.44
402,"The TJX Cos., Inc.",15.5,Low ESG Risk,Retailing,NYS,TJX,128803201024.0,118498944942.08
403,"Ulta Beauty, Inc.",15.5,Low ESG Risk,Retailing,NAS,ULTA,19108986880.0,17580267929.600002
404,Realty Income Corp.,15.5,Low ESG Risk,Real Estate,NYS,O,50182709248.0,46168092508.16
405,"Broadstone Net Lease, Inc.",15.5,Low ESG Risk,Real Estate,NYS,BNL,3438294272.0,3163230730.2400002
406,"OSI Systems, Inc.",15.5,Low ESG Risk,Technology Hardware,NAS,OSIS,2543495680.0,2340016025.6
407,"Broadridge Financial Solutions, Inc.",15.5,Low ESG Risk,Software & Services,NYS,BR,24574349312.0,22608401367.04
408,"Commvault Systems, Inc.",15.5,Low ESG Risk,Software & Services,NAS,CVLT,5337896448.0,4910864732.16
409,"Netflix, Inc.",15.5,Low ESG Risk,Media,NAS,NFLX,278991175680.0,256671881625.6
410,"Bentley Systems, Inc.",15.5,Low ESG Risk,Software & Services,NAS,BSY,14928000000.0,13733760000.0
411,"Mastercard, Inc.",15.6,Low ESG Risk,Software & Services,NYS,MA,419405103104.0,385852694855.68
412,"SolarEdge Technologies, Inc.",15.6,Low ESG Risk,Electrical Equipment,NAS,SEDG,1596465280.0,1468748057.6000001
413,"Sonos, Inc.",15.6,Low ESG Risk,Consumer Durables,NAS,SONO,1748881152.0,1608970659.8400002
414,"Etsy, Inc.",15.6,Low ESG Risk,Software & Services,NAS,ETSY,7594798080.0,6987214233.6
415,"Petco Health & Wellness Company, Inc.",15.6,Low ESG Risk,Retailing,NAS,WOOF,1018260160.0,936799347.2
416,PVH Corp.,15.6,Low ESG Risk,Textiles & Apparel,NYS,PVH,5856690176.0,5388154961.92
417,"The Cooper Cos., Inc.",15.6,Low ESG Risk,Healthcare,NAS,COO,18111954944.0,16662998548.480001
418,"Vera Bradley, Inc.",15.6,Low ESG Risk,Textiles & Apparel,NAS,VRA,203465824.0,187188558.08
419,ICON plc,15.6,Low ESG Risk,Pharmaceuticals,NAS,ICLR,27640995840.0,25429716172.8
420,"Nexstar Media Group, Inc.",15.6,Low ESG Risk,Media,NAS,NXST,5963879936.0,5486769541.12
421,"Nextracker, Inc.",15.6,Low ESG Risk,Technology Hardware,NAS,NXT,7027311616.0,6465126686.72
422,"United Rentals, Inc.",15.7,Low ESG Risk,Traders & Distributors,NYS,URI,48603762688.0,44715461672.96
423,"Copart, Inc.",15.7,Low ESG Risk,Commercial Services,NAS,CPRT,50992173056.0,46912799211.520004
424,CyberArk Software Ltd.,15.7,Low ESG Risk,Software & Services,NAS,CYBR,11547783168.0,10623960514.560001
425,"Dell Technologies, Inc.",15.7,Low ESG Risk,Technology Hardware,NYS,DELL,88533868544.0,81451159060.48001
426,"Academy Sports & Outdoors, Inc.",15.7,Low ESG Risk,Retailing,NAS,ASO,4139997952.0,3808798115.84
427,"Vista Outdoor, Inc.",15.7,Low ESG Risk,Consumer Durables,NYS,VSTO,2215017984.0,2037816545.28
428,Steven Madden Ltd.,15.7,Low ESG Risk,Textiles & Apparel,NAS,SHOO,3246985472.0,2987226634.2400002
429,LCI Industries,15.7,Low ESG Risk,Auto Components,NYS,LCII,2942760192.0,2707339376.6400003
430,Globant SA,15.7,Low ESG Risk,Software & Services,NYS,GLOB,8463323136.0,7786257285.12
431,"WESCO International, Inc.",15.7,Low ESG Risk,Traders & Distributors,NYS,WCC,8932951040.0,8218314956.8
432,"Easterly Government Properties, Inc.",15.8,Low ESG Risk,Real Estate,NYS,DEA,1438003712.0,1322963415.04
433,"Dynex Capital, Inc.",15.8,Low ESG Risk,Real Estate,NYS,DX,936088704.0,861201607.6800001
434,Goodyear Tire & Rubber Co.,15.8,Low ESG Risk,Auto Components,NAS,GT,3487415808.0,3208422543.36
435,"UiPath, Inc.",15.8,Low ESG Risk,Software & Services,NYS,PATH,7199819264.0,6623833722.88
436,"Tradeweb Markets, Inc.",15.8,Low ESG Risk,Diversified Financials,NAS,TW,23539374080.0,21656224153.600002
437,"Napco Security Technologies, Inc.",15.8,Low ESG Risk,Technology Hardware,NAS,NSSC,1985958272.0,1827081610.24
438,"Haverty Furniture Cos., Inc.",15.9,Low ESG Risk,Retailing,NYS,HVT,438693760.0,403598259.2
439,Graham Holdings Co.,15.9,Low ESG Risk,Consumer Services,NYS,GHC,3485372416.0,3206542622.7200003
440,Repligen Corp.,15.9,Low ESG Risk,Pharmaceuticals,NAS,RGEN,7392940032.0,6801504829.440001
441,Whitestone REIT,15.9,Low ESG Risk,Real Estate,NYS,WSR,712065792.0,655100528.64
442,"Merit Medical Systems, Inc.",15.9,Low ESG Risk,Healthcare,NAS,MMSI,5034277888.0,4631535656.96
443,Elastic NV,15.9,Low ESG Risk,Software & Services,NYS,ESTC,11751134208.0,10811043471.36
444,"Stride, Inc.",15.9,Low ESG Risk,Consumer Services,NYS,LRN,3080614144.0,2834165012.48
445,"Old Dominion Freight Line, Inc.",15.9,Low ESG Risk,Transportation,NAS,ODFL,43170181120.0,39716566630.4
446,"Azenta, Inc.",15.9,Low ESG Risk,Pharmaceuticals,NAS,AZTA,2980097536.0,2741689733.12
447,"Dorman Products, Inc.",15.9,Low ESG Risk,Auto Components,NAS,DORM,3164182784.0,2911048161.28
448,EPR Properties,16.0,Low ESG Risk,Real Estate,NYS,EPR,3365160704.0,3095947847.6800003
449,"Burlington Stores, Inc.",16.0,Low ESG Risk,Retailing,NYS,BURL,15745873920.0,14486204006.400002
450,"Walgreens Boots Alliance, Inc.",16.0,Low ESG Risk,Food Retailers,NAS,WBA,10229809152.0,9411424419.84
451,"Boot Barn Holdings, Inc.",16.0,Low ESG Risk,Retailing,NYS,BOOT,3721457664.0,3423741050.88
452,"W.W. Grainger, Inc.",16.0,Low ESG Risk,Traders & Distributors,NYS,GWW,47896027136.0,44064344965.12
453,"AMMO, Inc.",16.0,Low ESG Risk,Consumer Durables,NAS,POWW,213333984.0,196267265.28
454,Deere & Co.,16.0,Low ESG Risk,Machinery,NYS,DE,106130268160.0,97639846707.2
455,Graphic Packaging Holding Co.,16.0,Low ESG Risk,Containers & Packaging,NYS,GPK,8628815872.0,7938510602.240001
456,"Cooper-Standard Holdings, Inc.",16.0,Low ESG Risk,Auto Components,NYS,CPS,260561808.0,239716863.36
457,"Invitation Homes, Inc.",16.0,Low ESG Risk,Real Estate,NYS,INVH,21898162176.0,20146309201.920002
458,"Bright Horizons Family Solutions, Inc.",16.0,Low ESG Risk,Consumer Services,NYS,BFAM,6918160896.0,6364708024.320001
459,Viad Corp.,16.0,Low ESG Risk,Commercial Services,NYS,VVI,818295168.0,752831554.5600001
460,"Sirius XM Holdings, Inc.",16.0,Low ESG Risk,Media,NAS,SIRI,14617193472.0,13447817994.24
461,"Ribbon Communications, Inc.",16.0,Low ESG Risk,Technology Hardware,NAS,RBBN,671292608.0,617589199.36
462,"Take-Two Interactive Software, Inc.",16.0,Low ESG Risk,Software & Services,NAS,TTWO,26227849216.0,24129621278.72
463,G-III Apparel Group Ltd.,16.1,Low ESG Risk,Textiles & Apparel,NAS,GIII,1194428672.0,1098874378.24
464,"Voya Financial, Inc.",16.1,Low ESG Risk,Diversified Financials,NYS,VOYA,7360235520.0,6771416678.400001
465,"IQVIA Holdings, Inc.",16.1,Low ESG Risk,Pharmaceuticals,NYS,IQV,41958838272.0,38602131210.24
466,"Datadog, Inc.",16.1,Low ESG Risk,Software & Services,NAS,DDOG,40527900672.0,37285668618.24
467,"Clear Channel Outdoor Holdings, Inc.",16.1,Low ESG Risk,Media,NYS,CCO,855237248.0,786818268.1600001
468,"Maravai Lifesciences Holdings, Inc.",16.1,Low ESG Risk,Pharmaceuticals,NAS,MRVI,2340383232.0,2153152573.44
469,"CACI International, Inc.",16.1,Low ESG Risk,Software & Services,NYS,CACI,9956011008.0,9159530127.36
470,Warner Music Group Corp.,16.1,Low ESG Risk,Media,NAS,WMG,16417873920.0,15104444006.400002
471,"The Aaron's Co., Inc.",16.1,Low ESG Risk,Retailing,NYS,AAN,314277344.0,289135156.48
472,"Atlanta Braves Holdings, Inc.",16.1,Low ESG Risk,Media,NAS,BATRK,2732671232.0,2514057533.44
473,Johnson Controls International Plc,16.1,Low ESG Risk,Building Products,NYS,JCI,47056269312.0,43291767767.04
474,"Gap, Inc.",16.1,Low ESG Risk,Retailing,NYS,GPS,8607788032.0,7919164989.440001
475,Carvana Co.,16.1,Low ESG Risk,Retailing,NYS,CVNA,15641661440.0,14390328524.800001
476,Definitive Healthcare Corp.,16.1,Low ESG Risk,Healthcare,NAS,DH,694637120.0,639066150.4
477,"Expeditors International of Washington, Inc.",16.2,Low ESG Risk,Transportation,NYS,EXPD,17064653824.0,15699481518.08
478,"CSG Systems International, Inc.",16.2,Low ESG Risk,Software & Services,NAS,CSGS,1319245824.0,1213706158.0800002
479,"NNN REIT, Inc.",16.2,Low ESG Risk,Real Estate,NYS,NNN,8461556224.0,7784631726.08
480,"Summit Hotel Properties, Inc.",16.2,Low ESG Risk,Real Estate,NYS,INN,667544640.0,614141068.8000001
481,"Newmark Group, Inc.",16.2,Low ESG Risk,Real Estate,NAS,NMRK,2870742528.0,2641083125.76
482,"Paycor HCM, Inc.",16.2,Low ESG Risk,Software & Services,NAS,PYCR,2339897344.0,2152705556.48
